DateTime,Entries,UniqueIPs
1483393297,72,18944
1483398689,71,18688
1483453584,66,17408
1483460332,71,18688
1483461717,72,18944
1483470697,73,19200
1483486934,74,19456
1483488704,73,19200
1483536039,80,20992
1483539730,76,19968
1483542694,77,20224
1483549897,77,20224
1483557133,76,19968
1483576968,77,20224
1483633022,80,20992
1483634529,81,21248
1483638140,82,21504
1483640292,83,21760
1483652533,84,22016
1483663323,83,21760
1483712183,81,21248
1483716168,84,22016
1483717323,83,21760
1483720117,82,21504
1483730539,81,21248
1483741673,80,20992
1483749078,81,21248
1483795306,85,22272
1483796531,86,22528
1483810079,83,21760
1483828208,82,21504
1483830761,83,21760
1483865002,84,22016
1483888355,81,21248
1483892854,84,22016
1483896554,83,21760
1483900029,82,21504
1483900941,83,21760
1483911742,82,21504
1483915420,81,21248
1483974742,79,20736
1483975715,85,22272
1483985354,86,22528
1483998040,86,22272
1484008450,87,22528
1484058258,93,24064
1484064562,90,23296
1484068153,91,23552
1484077228,91,23552
1484078966,92,23808
1484080333,93,24064
1484089758,93,24320
1484091564,92,24064
1484095351,91,23808
1484140166,84,22016
1484144675,87,22784
1484149153,86,22528
1484155139,87,22784
1484162250,88,23040
1484231060,92,24064
1484237351,86,22528
1484238379,85,22272
1484244618,84,22016
1484246381,85,22272
1484266153,84,22016
1484267698,85,22272
1484320653,82,21504
1484324776,84,22016
1484330956,83,21760
1484336361,82,21504
1484353931,81,21248
1484400249,83,21760
1484418421,82,21504
1484420968,83,21760
1484426355,84,22016
1484429233,83,21760
1484440821,84,22016
1484493875,89,23296
1484497433,86,22528
1484505572,87,22784
1484525376,88,23040
1484534354,89,23296
1484548760,88,23040
1484576668,90,23552
1484577541,91,23808
1484580261,83,21760
1484585624,82,21504
1484588364,83,21760
1484590152,84,22016
1484593767,85,22272
1484598587,84,22016
1484603625,83,21760
1484608715,84,22016
1484662173,80,20992
1484663055,82,21504
1484673427,81,21248
1484679226,80,20992
1484682830,79,20736
1484683843,78,20480
1484698168,79,20736
1484699581,80,20992
1484748560,76,19712
1484753049,77,19968
1484759372,78,20224
1484766567,79,20480
1484768373,80,20736
1484782103,79,20480
1484782786,80,20736
1484783626,79,20480
1484834948,74,19200
1484839479,75,19456
1484842149,76,19712
1484850278,75,19456
1484859234,74,19200
1484871834,73,18944
1484925878,76,19712
1484929059,73,18944
1484950159,73,19200
1485003230,70,18432
1485014973,69,18176
1485015717,74,19456
1485018542,75,19712
1485032038,74,19456
1485041956,75,19712
1485044665,74,19456
1485069443,75,19712
1485087835,79,20736
1485098647,74,19456
1485099604,75,19712
1485112727,74,19456
1485131587,75,19712
1485181291,71,18688
1485186005,70,18432
1485192324,72,18944
1485198576,71,18688
1485206877,70,18432
1485214035,69,18176
1485214779,70,18432
1485216604,71,18688
1485218012,72,18944
1485267831,69,18176
1485272380,68,17920
1485297001,67,17664
1485299740,66,17408
1485304203,65,17152
1485357341,63,16640
1485388843,64,16896
1485443739,60,15872
1485448202,59,15616
1485464401,58,15360
1485536401,61,16128
1485549935,60,15872
1485555335,59,15616
1485578740,60,15872
1485613801,62,16384
1485614725,63,16640
1485620120,61,16128
1485623730,60,15872
1485630930,61,16128
1485637202,59,15616
1485650743,60,15872
1485678602,59,15616
1485693001,54,14336
1485707488,53,14080
1485711025,57,15104
1485714659,56,14848
1485722210,55,14592
1485753338,54,14336
1485794000,60,15872
1485796521,57,15104
1485808201,56,14848
1485834327,57,15104
1485854744,60,15872
1485875727,61,16128
1485906333,60,15872
1485966243,61,16128
1485977546,62,16384
1485993602,58,15360
1486001732,59,15616
1486049402,64,16896
1486080002,59,15360
1486095799,60,15616
1486131849,64,16896
1486133116,65,17152
1486140320,66,17408
1486152001,65,17152
1486156531,66,17408
1486161928,67,17664
1486183531,66,17408
1486222202,68,17920
1486224917,67,17664
1486247758,68,17920
1486269935,69,18176
1486284335,70,18432
1486301402,74,19456
1486314921,75,19712
1486315531,73,19200
1486316728,73,19456
1486324802,72,19200
1486334176,73,19456
1486338334,74,19712
1486397747,70,18688
1486398715,71,18944
1486413194,72,19200
1486422931,73,19456
1486437333,72,19200
1486438655,71,18944
1486440002,70,18688
1486459566,67,17920
1486463402,66,17664
1486465202,65,17408
1486477802,68,18176
1486557002,69,18432
1486559717,70,18688
1486570522,69,18176
1486574128,70,18432
1486581328,69,18176
1486605603,68,17920
1486654202,73,18944
1486683934,74,19200
1486699201,73,18944
1486733251,74,19200
1486736805,71,18432
1486745122,72,18688
1486748725,73,18944
1486752329,74,19200
1486772135,75,19456
1486827001,73,18944
1486829724,73,19200
1486840525,72,18944
1486854931,71,18688
1486905971,68,17920
1486916611,72,18944
1486923327,73,19200
1486934131,72,18944
1486942323,73,19200
1486949578,72,18944
1486999801,75,19712
1487002971,73,18944
1487009718,72,18688
1487022301,71,18432
1487027728,72,18688
1487038528,71,18432
1487054729,72,18688
1487078865,76,19712
1487079922,77,19968
1487081718,78,20224
1487082601,77,19968
1487083523,78,20224
1487099730,77,19968
1487103330,78,20224
1487161802,76,19712
1487166325,77,19968
1487172765,78,20224
1487187169,79,20480
1487193337,78,20224
1487258144,74,19200
1487266202,76,19712
1487267126,77,19968
1487271602,78,20224
1487277929,77,19968
1487290532,78,20224
1487337841,75,19456
1487381043,79,20480
1487431802,71,18432
1487433602,70,18176
1487443503,69,17920
1487520904,68,17664
1487522707,71,18432
1487524515,73,19200
1487525439,75,19712
1487526310,75,19968
1487528113,76,20224
1487530522,77,20480
1487531716,78,20736
1487538921,79,20992
1487601001,83,22016
1487603718,79,20992
1487615580,80,21248
1487623113,79,20992
1487632533,78,20736
1487682935,75,19968
1487683802,81,21504
1487689202,82,21760
1487696402,81,21504
1487698647,80,21248
1487702085,79,20992
1487707202,78,20736
1487717135,79,20992
1487723402,78,20736
1487769339,74,19712
1487777486,78,20736
1487783727,77,20480
1487798131,78,20736
1487856714,82,21760
1487859319,83,22016
1487870126,82,21760
