DateTime,Entries,UniqueIPs
1484820307,3022,3022
1484834819,3016,3016
1484849111,3003,3003
1484863516,3019,3019
1484877992,2976,2976
1484892316,2960,2960
1484906708,2919,2919
1484921107,2882,2882
1484935507,2896,2896
1484949919,2835,2835
1484964317,2760,2760
1484978707,2699,2699
1484993109,2635,2635
1485007515,2323,2323
1485021921,2259,2259
1485036321,2255,2255
1485050707,2202,2202
1485065114,2223,2223
1485079511,2227,2227
1485093909,2176,2176
1485108308,2237,2237
1485122706,2320,2320
1485137107,2414,2414
1485151507,2523,2523
1485165912,2660,2660
1485180308,2674,2674
1485194708,2702,2702
1485209125,2690,2690
1485223506,2630,2630
1485237906,2588,2588
1485252307,2598,2598
1485266708,2591,2591
1485281107,2579,2579
1485295225,2570,2570
1485309624,2381,2381
1485324021,2468,2468
1485338425,2291,2291
1485352821,2284,2284
1485367224,2257,2257
1485381625,2263,2263
1485396023,2234,2234
1485410433,2217,2217
1485424822,1967,1967
1485439227,2419,2419
1485453624,2410,2410
1485468022,2402,2402
1485482423,2420,2420
1485496833,2187,2187
1485511219,1995,1995
1485525627,2380,2380
1485540022,2378,2378
1485554425,2368,2368
1485568820,2352,2352
1485583232,2328,2328
1485597623,2301,2301
1485612022,2293,2293
1485626418,2268,2268
1485640822,2265,2265
1485655222,2276,2276
1485669631,1889,1889
1485684021,2327,2327
1485698420,2374,2374
1485712821,2419,2419
1485727226,2457,2457
1485741624,2484,2484
1485756033,2469,2469
1485770423,2470,2470
1485784823,2508,2508
1485799224,2534,2534
1485813623,3159,3159
1485828026,3135,3135
1485842432,3040,3040
1485856826,3156,3156
1485871229,3175,3175
1485885634,4541,4541
1485900054,9229,9229
1485914452,9328,9328
1485928865,9323,9323
1485943248,9333,9333
1485957667,8683,8683
1485972049,8725,8725
1485986445,8758,8758
1486000847,8738,8738
1486015264,8714,8714
1486029649,8728,8728
1486044069,8193,8193
1486058423,2816,2816
1486072821,2635,2635
1486087225,2821,2821
1486101635,2832,2832
1486116026,2824,2824
1486130425,2807,2807
1486144834,2834,2834
1486159226,2843,2843
1486173623,2803,2803
1486188037,2785,2785
1486202425,2749,2749
1486216824,2341,2341
1486231222,3356,3356
1486245630,4488,4488
1486260030,4455,4455
1486274436,4478,4478
1486288833,4444,4444
1486303228,4414,4414
1486317630,4556,4556
1486332028,5303,5303
1486346432,5324,5324
1486360845,5315,5315
1486375230,5500,5500
1486389628,3267,3267
1486404025,3213,3213
1486418438,3234,3234
1486432827,3215,3215
1486447235,3229,3229
1486461627,3209,3209
1486476024,2914,2914
1486490424,2850,2850
1486504826,2820,2820
1486519223,2793,2793
1486533635,2778,2778
1486548024,2611,2611
1486562426,2243,2243
1486576824,2249,2249
1486591218,2258,2258
1486605624,2246,2246
1486620021,2268,2268
1486634421,2284,2284
1486648826,2417,2417
1486663223,2409,2409
1486677622,2414,2414
1486692023,2413,2413
1486706423,2418,2418
1486720821,2133,2133
1486735224,2155,2155
1486749621,2206,2206
1486764026,2493,2493
1486778458,2489,2489
1486792832,2471,2471
1486807223,2367,2367
1486821623,2370,2370
1486836020,2381,2381
1486850436,2420,2420
1486864822,2440,2440
1486879222,2513,2513
1486893617,2249,2249
1486908021,1925,1925
1486922417,1733,1733
1486936817,1804,1804
1486951220,1850,1850
1486965627,1885,1885
1486980020,1723,1723
1486994418,1454,1454
1487008821,1516,1516
1487023214,1568,1568
1487037619,1625,1625
1487052022,1726,1726
1487066420,1874,1874
1487080818,1886,1886
1487095216,1869,1869
1487109621,1856,1856
1487124022,1856,1856
1487138418,2015,2015
1487152824,2177,2177
1487167218,2174,2174
1487181624,2196,2196
1487196031,2201,2201
1487210424,2209,2209
1487224830,2225,2225
1487239226,2217,2217
1487253622,2216,2216
1487268028,2648,2648
1487282428,2630,2630
1487296827,2616,2616
1487311238,2585,2585
1487325625,2571,2571
1487340042,2550,2550
1487354427,2545,2545
1487368827,2557,2557
1487383224,2280,2280
1487397632,2305,2305
1487412034,2348,2348
1487426425,1972,1972
1487440823,1848,1848
1487455223,1793,1793
1487469612,1860,1860
1487484029,1901,1901
1487498425,1917,1917
1487512823,1952,1952
1487527213,2039,2039
1487541626,2116,2116
1487556027,2136,2136
1487570434,2154,2154
1487584827,2166,2166
1487599229,2260,2260
1487613701,2275,2275
1487628024,2270,2270
1487642426,2250,2250
1487656835,2245,2245
1487671227,2251,2251
1487685626,2236,2236
1487700026,2213,2213
1487714419,2204,2204
1487728823,2180,2180
1487743231,2184,2184
1487757626,2162,2162
1487772026,2138,2138
1487786424,2180,2180
1487800824,2180,2180
1487815218,2124,2124
1487829631,2099,2099
1487844026,2119,2119
1487858427,2158,2158
1487872824,1980,1980
1487887220,2000,2000
