DateTime,Entries,UniqueIPs
1486374962,7376,7493
1486378562,7371,7489
1486382162,7365,7483
1486385763,7359,7477
1486389363,7370,7489
1486392962,7346,7464
1486396562,7354,7472
1486400163,7357,7475
1486403762,7369,7487
1486407363,7378,7496
1486410963,7388,7506
1486414563,7391,7509
1486418162,7396,7515
1486421763,7400,7519
1486425363,7406,7525
1486428963,7407,7526
1486432564,7411,7530
1486436163,7416,7535
1486439762,7424,7543
1486443363,7431,7551
1486446962,7436,7556
1486450562,7444,7564
1486454162,7452,7572
1486457763,7458,7578
1486461362,7469,7589
1486464963,7476,7596
1486468563,7504,7625
1486472163,7508,7629
1486475763,7522,7642
1486479362,7511,7631
1486482962,7509,7629
1486486563,7525,7645
1486490162,7528,7648
1486493763,7517,7635
1486497362,7517,7634
1486500962,7521,7638
1486504562,7512,7629
1486508162,7512,7629
1486511762,7516,7633
1486515363,7517,7634
1486518963,7510,7627
1486522563,7499,7614
1486526162,7505,7620
1486529763,7504,7619
1486533363,7505,7620
1486536962,7504,7619
1486540562,7499,7614
1486544163,7500,7615
1486547762,7492,7607
1486551362,7491,7606
1486554962,7489,7603
1486558563,7492,7606
1486562162,7495,7609
1486565763,7492,7606
1486569362,7496,7610
1486572962,7489,7603
1486576563,7507,7621
1486580163,7503,7616
1486583763,7519,7632
1486587363,7517,7628
1486590963,7527,7638
1486594562,7531,7642
1486598162,7532,7643
1486601763,7527,7638
1486605363,7528,7639
1486608962,7507,7618
1486612563,7511,7623
1486616162,7490,7602
1486619762,7484,7596
1486623363,7486,7598
1486626963,7498,7610
1486630563,7487,7599
1486634162,7494,7607
1486637762,7503,7616
1486641363,7495,7609
1486644963,7501,7615
1486648562,7480,7593
1486652162,7468,7581
1486655762,7468,7581
1486659363,7465,7579
1486662962,7460,7574
1486666562,7466,7580
1486670162,7454,7568
1486673764,7449,7563
1486677362,7455,7569
1486680962,7445,7559
1486684563,7451,7565
1486688162,7437,7551
1486691762,7438,7552
1486695362,7419,7533
1486698963,7422,7536
1486702563,7410,7524
1486706163,7384,7496
1486709762,7390,7502
1486713363,7393,7505
1486716962,7380,7492
1486720562,7366,7478
1486724164,7366,7478
1486731363,7356,7467
1486734962,7346,7457
1486738563,7339,7450
1486742163,7352,7463
1486745763,7366,7477
1486749363,7373,7484
1486752962,7379,7490
1486756562,7373,7484
1486760163,7368,7479
1486763762,7377,7489
1486767362,7374,7486
1486770962,7370,7482
1486774563,7365,7476
1486778163,7362,7473
1486781762,7362,7473
1486785362,7360,7471
1486788963,7355,7466
1486792563,7350,7461
1486796162,7353,7464
1486799762,7357,7468
1486803363,7349,7458
1486806962,7356,7465
1486810562,7351,7459
1486814163,7337,7445
1486817763,7327,7436
1486821362,7328,7439
1486824962,7329,7440
1486828563,7318,7429
1486832162,7306,7417
1486835762,7310,7421
1486839363,7331,7442
1486842962,7332,7442
1486846563,7329,7439
1486850162,7334,7444
1486853763,7343,7453
1486857363,7349,7459
1486864563,7335,7445
1486868162,7326,7436
1486871763,7323,7432
1486875362,7331,7441
1486878963,7322,7432
1486882563,7327,7437
1486886163,7323,7433
1486889762,7318,7428
1486893362,7324,7434
1486896962,7337,7446
1486900563,7342,7452
1486904162,7345,7456
1486907762,7352,7463
1486911362,7339,7449
1486914962,7346,7456
1486918562,7356,7466
1486922163,7365,7475
1486925763,7365,7475
1486929363,7373,7483
1486932962,7360,7470
1486936563,7367,7477
1486940163,7365,7476
1486943762,7369,7480
1486947362,7368,7479
1486950962,7358,7469
1486954562,7360,7470
1486958163,7366,7476
1486961763,7357,7467
1486965362,7359,7469
1486968962,7352,7462
1486972562,7362,7472
1486976163,7367,7477
1486979763,7358,7467
1486983363,7369,7478
1486986964,7367,7476
1486990562,7376,7485
1486994162,7376,7485
1486997763,7366,7475
1487001363,7381,7490
1487004962,7375,7484
1487008562,7377,7486
1487012162,7383,7492
1487015763,7401,7511
1487019362,7444,7556
1487022963,7459,7571
1487026562,7478,7590
1487030162,7480,7592
1487033762,7485,7597
1487037366,7478,7590
1487040963,7485,7597
1487044563,7488,7600
1487048162,7485,7596
1487051762,7484,7594
1487055363,7479,7589
1487058962,7483,7593
1487062562,7490,7600
1487066162,7479,7589
1487069762,7485,7596
1487073362,7502,7616
1487076962,7515,7629
1487080563,7528,7642
1487084162,7524,7637
1487087763,7533,7646
1487091363,7511,7623
1487094962,7512,7624
1487098562,7512,7624
1487102163,7515,7627
1487105763,7510,7622
1487109362,7522,7634
1487112963,7503,7615
1487116563,7483,7595
1487120162,7481,7593
1487123762,7471,7583
1487127362,7469,7581
1487130965,7463,7575
1487134563,7466,7578
1487138162,7469,7581
1487141763,7463,7575
1487145363,7461,7573
1487148963,7470,7582
1487152563,7462,7574
1487156162,7446,7557
1487159763,7429,7539
1487163362,7427,7537
1487166962,7418,7528
1487170562,7408,7516
1487174162,7417,7525
1487177763,7416,7524
1487181362,7417,7525
1487184962,7411,7519
1487188562,7424,7532
1487192163,7418,7526
1487195762,7402,7510
1487199362,7414,7522
1487202962,7411,7518
1487206563,7410,7517
1487210162,7414,7521
1487213762,7411,7517
1487217363,7417,7523
1487220962,7405,7509
1487224562,7405,7508
1487228162,7408,7511
1487231763,7416,7519
1487890562,6118,6193
1487894163,6133,6209
1487897763,6148,6224
1487901362,6168,6244
1487904962,6183,6261
1487908562,6189,6267
1487912163,6200,6278
1487915762,6216,6295
1487919363,6226,6305
1487922963,6229,6308
1487926562,6239,6318
1487930163,6291,6370
1487933762,6328,6407
1487937362,6350,6429
1487940962,6374,6453
1487944562,6386,6467
1487948162,6429,6511
1487951763,6463,6545
1487955362,6477,6559
1487958962,6497,6579
1487962563,6509,6591
1487966163,6519,6601
1487969763,6526,6608
1487973362,6542,6625
1487976962,6564,6648
1487980563,6567,6651
1487984163,6569,6653
1487987764,6578,6662
1487991362,6588,6672
1487994963,6592,6677
