DateTime,Entries,UniqueIPs
1444186504,6855,6855
1444273839,6579,6579
1444361273,6403,6403
1444448775,6340,6340
1444536031,6222,6222
1444623536,6194,6194
1444711062,6417,6417
1444798507,6521,6521
1444885801,6480,6480
1444973271,6387,6387
1445060758,6426,6426
1445148090,6429,6429
1445244807,6386,6386
1445332170,6427,6427
1445419695,6454,6454
1445507139,6505,6505
1445594549,6580,6580
1445681963,6573,6573
1445769509,6577,6577
1445856889,6541,6541
1445944202,6560,6560
1446031678,6573,6573
1446119295,6551,6551
1446206426,6625,6625
1446293942,6328,6328
1446381422,6303,6303
1446470671,6277,6277
1446557830,6320,6320
1446645356,6790,6790
1446733511,7252,7252
1446824321,7481,7481
1446911361,7517,7517
1446998581,7524,7524
1447086010,7535,7535
1447173426,7840,7840
1447260880,7766,7766
1447348176,7694,7694
1447435690,7711,7711
1447523147,7641,7641
1447610439,7627,7627
1447697941,7626,7626
1447785412,7658,7658
1447872969,7675,7675
1447960475,7663,7663
1448049416,7644,7644
1448136587,7590,7590
1448224063,7589,7589
1448312011,7707,7707
1448402347,7705,7705
1448489387,7718,7718
1448578596,7722,7722
1448666125,7699,7699
1448753264,7646,7646
1448840780,7622,7622
1448928122,7605,7605
1449015510,7709,7709
1449103115,7859,7859
1449190454,7843,7843
1449277815,7388,7388
1449370834,6783,6783
1449458331,6609,6609
1449552917,6592,6592
1449640268,6735,6735
1449727832,7059,7059
1449815238,6578,6578
1449902300,6600,6600
1449989657,6630,6630
1450076996,6623,6623
1450164466,6621,6621
1450251951,6578,6578
1450339278,6537,6537
1450426722,6553,6553
1450513744,6542,6542
1450601171,6524,6524
1450688445,6539,6539
1450775538,6543,6543
1450862877,6522,6522
1450949931,6402,6402
1451037277,6399,6399
1451129551,6396,6396
1451216766,6368,6368
1451304070,6369,6369
1451391295,6392,6392
1451478446,6368,6368
1451565938,6350,6350
1451653285,6234,6234
1451740717,5918,5918
1451828212,5776,5776
1451915661,5776,5776
1452002990,5795,5795
1452090014,5792,5792
1452177494,5729,5729
1452312109,5260,5260
1452399549,5184,5184
1452487117,5032,5032
1452574497,5104,5104
1452661835,5061,5061
1452749303,5045,5045
1452836768,5023,5023
1452924148,5014,5014
1453011581,4995,4995
1453098811,4987,4987
1453185884,5000,5000
1453273004,5025,5025
1453360138,5025,5025
1453447254,5027,5027
1453534378,5032,5032
1453621512,5040,5040
1453708614,5051,5051
1453796016,4985,4985
1453883090,4996,4996
1453970461,4988,4988
1454057563,4958,4958
1454144699,4956,4956
1454231808,4963,4963
1454318938,5005,5005
1454406057,4999,4999
1454493279,4993,4993
1454580387,5047,5047
1454667652,5030,5030
1454754786,5013,5013
1454842088,5034,5034
1454929265,5049,5049
1455016427,5040,5040
1455103506,5044,5044
1455190603,4942,4942
1455277756,4937,4937
1455364866,4923,4923
1455451969,4921,4921
1455539086,4935,4935
1455626243,5456,5456
1455713340,5689,5689
1455800456,5737,5737
1455887589,5706,5706
1455974679,5701,5701
1456061858,5699,5699
1456148936,5716,5716
1456236075,5701,5701
1456323234,5690,5690
1456410366,5730,5730
1456497453,5839,5839
1456584598,5902,5902
1456671693,5905,5905
1456758831,5975,5975
1456845918,6013,6013
1456933046,6037,6037
1457020174,6047,6047
1457107305,6039,6039
1457194435,16665,16665
1457281529,18752,18752
1457368712,18930,18930
1457456026,19093,19093
1457543206,19201,19201
1457630625,19411,19411
1457717855,19583,19583
1457804985,19802,19802
1457892100,19901,19901
1457979229,20402,20402
1458066389,20502,20502
1458153740,20791,20791
1458241059,20906,20906
1458328183,20832,20832
1458415321,20966,20966
1458502438,21088,21088
