DateTime,Entries,UniqueIPs
1478969404,3763,636600872
1479055804,3761,636598824
1479142204,3762,636592424
1479228604,3760,636570920
1479315004,3760,636552232
1479401404,3762,636534568
1479487805,3764,636506408
1479574204,3764,636484392
1479660607,3760,636477992
1479747008,3758,636461096
1479833406,3765,636409896
1479919804,3764,636394024
1480006203,3765,636357160
1480092604,3767,636323368
1480179004,3765,636296744
1480265404,3764,636294440
1480351804,3763,636287016
1480438205,3765,636268840
1480524603,3766,636235048
1480611006,3780,636177448
1480697404,3775,636152104
1480783804,3778,636137256
1480870208,3779,636135208
1480956604,3781,636126248
1481043003,3780,636095272
1481129403,3780,636068648
1481215804,3776,636041768
1481302204,3776,636011816
1481388604,3775,635990312
1481475004,3772,635986216
1481561404,3775,635984168
1481647804,3776,635959592
1481734205,3773,635911720
1481820606,3778,635879208
1481907004,3783,635916072
1481993404,3777,635893800
1482079805,3781,635888936
1482166205,3783,635884840
1482252604,3780,635866920
1482339004,3785,635841832
1482425405,3789,635823400
1482511804,3786,635805992
1482598203,3779,634744360
1482684603,3780,634745384
1482771003,3780,634744616
1482857404,3787,634739752
1482943805,3788,634702888
1483030203,3789,634684968
1483116604,3781,634654504
1483203005,3785,634644264
1483289404,3786,634645288
1483462204,3783,634624808
1483548604,3789,634599720
1483635003,3784,634054952
1483721403,3783,634027304
1483807804,3785,634011944
1483894204,3779,634002728
1483980607,3782,633996840
1484067007,3786,633975336
1484153404,3789,633932584
1484239808,3785,633901608
1484326234,3786,633875496
1484412603,3780,633855784
1484499004,3783,633836328
1484585403,3784,633834024
1484671804,3788,633804072
1484758204,3785,633773864
1484844604,3781,633749288
1484931003,3791,633717032
1485017403,3788,633653288
1485103803,3782,633638696
1485190203,3779,633617704
1485276604,3784,633605160
1485363004,3795,633595464
1485449403,3796,633581128
1485535804,3794,633563720
1485622203,3793,633546312
1485708604,3792,633539912
1485795003,3786,633528904
1485881403,3785,633501256
1485967803,3791,633537096
1486054203,3768,633482312
1486140603,3769,633430088
1486227004,3770,633419336
1486313403,3771,633410888
1486399808,3770,633397064
1486486203,3766,633361992
1486572603,3764,633030472
1486659004,3763,632987208
1486745404,3774,632964424
1486831804,3763,631773000
1486918204,3762,631764040
1487004604,3762,631756104
1487091004,3760,630691656
1487177403,3762,630666056
1487263805,3762,630770504
1487350205,3769,630755400
1487436604,3765,630645320
1487523004,3761,630637128
1487609404,3762,630630472
1487695803,3762,630605128
1487782204,3765,630595656
1487868604,3762,630552392
