DateTime,Entries,UniqueIPs
1486994649,4123,4123
1486998247,4111,4111
1487001846,4104,4104
1487005445,4092,4092
1487009046,4070,4070
1487012646,4070,4070
1487016247,4051,4051
1487019845,4043,4043
1487023445,4037,4037
1487027043,4040,4040
1487030644,4033,4033
1487034243,4024,4024
1487037842,4021,4021
1487041441,4004,4004
1487045042,3997,3997
1487048641,4018,4018
1487052242,4017,4017
1487077415,4014,4014
1487081047,3973,3973
1487084641,3955,3955
1487088242,3953,3953
1487091844,3936,3936
1487095445,3939,3939
1487106452,3928,3928
1487109846,3929,3929
1487113441,3928,3928
1487117041,3907,3907
1487120639,3911,3911
1487124242,3903,3903
1487127840,3893,3893
1487131437,3887,3887
1487135036,3875,3875
1487138641,3871,3871
1487142238,3859,3859
1487145837,3844,3844
1487149436,3832,3832
1487153035,3818,3818
1487156638,3824,3824
1487160235,3828,3828
1487163836,3816,3816
1487167435,3808,3808
1487171036,3792,3792
1487174636,3793,3793
1487178233,3779,3779
1487181833,3776,3776
1487185436,3762,3762
1487189033,3755,3755
1487192631,3728,3728
1487196232,3716,3716
1487199827,3702,3702
1487203432,3694,3694
1487207028,3687,3687
1487210627,3670,3670
1487214228,3659,3659
1487217829,3656,3656
1487221428,3658,3658
1487225027,3663,3663
1487228627,3666,3666
1487232230,3656,3656
1487235828,3650,3650
1487239425,3632,3632
1487243027,3627,3627
1487246628,3624,3624
1487250228,3625,3625
1487253828,3631,3631
1487257429,3628,3628
1487261029,3617,3617
1487264629,3618,3618
1487268227,3600,3600
1487271826,3600,3600
1487275428,3592,3592
1487279028,3588,3588
1487282625,3573,3573
1487286225,3560,3560
1487289825,3554,3554
1487293466,3539,3539
1487297021,3531,3531
1487300624,3532,3532
1487304223,3530,3530
1487307820,3518,3518
1487311424,3504,3504
1487315020,3494,3494
1487318619,3489,3489
1487322219,3486,3486
1487325821,3477,3477
1487329417,3478,3478
1487333019,3467,3467
1487336619,3462,3462
1487340218,3451,3451
1487343817,3432,3432
1487347418,3420,3420
1487351017,3409,3409
1487354619,3402,3402
1487358220,3421,3421
1487361815,3412,3412
1487365419,3409,3409
1487369020,3426,3426
1487372620,3426,3426
1487376220,3428,3428
1487379818,3418,3418
1487383418,3417,3417
1487387016,3413,3413
1487390617,3401,3401
1487394216,3391,3391
1487397816,3389,3389
1487401417,3390,3390
1487405016,3385,3385
1487408616,3376,3376
1487412215,3370,3370
1487415815,3366,3366
1487419415,3367,3367
1487423015,3356,3356
1487426612,3359,3359
1487430213,3356,3356
1487433814,3352,3352
1487437415,3349,3349
1487441015,3347,3347
1487444613,3355,3355
1487448215,3357,3357
1487451816,3344,3344
1487455414,3342,3342
1487459016,3343,3343
1487462613,3347,3347
1487466214,3341,3341
1487469812,3340,3340
1487473414,3342,3342
1487477022,3336,3336
1487480610,3345,3345
1487484216,3347,3347
1487487814,3345,3345
1487491415,3333,3333
1487495014,3327,3327
1487498612,3317,3317
1487502208,3307,3307
1487505813,3307,3307
1487509413,3305,3305
1487513009,3303,3303
1487516610,3302,3302
1487520212,3305,3305
1487523814,3306,3306
1487527413,3300,3300
1487531012,3311,3311
1487534611,3305,3305
1487538214,3307,3307
1487541813,3307,3307
1487545412,3304,3304
1487549013,3298,3298
1487552612,3289,3289
1487556214,3274,3274
1487559809,3261,3261
1487563409,3247,3247
1487567011,3243,3243
1487570609,3240,3240
1487574210,3231,3231
1487577809,3238,3238
1487581408,3247,3247
1487585010,3247,3247
1487588607,3241,3241
1487592210,3238,3238
1487595809,3226,3226
1487599408,3220,3220
1487603007,3215,3215
1487606608,3226,3226
1487610209,3221,3221
1487613806,3224,3224
1487617410,3235,3235
1487621011,3235,3235
1487624608,3236,3236
1487628208,3240,3240
1487631809,3241,3241
1487635406,3239,3239
1487639006,3245,3245
1487642609,3244,3244
1487646210,3246,3246
1487649808,3240,3240
1487653411,3226,3226
1487657009,3223,3223
1487660609,3220,3220
1487664207,3228,3228
1487667806,3217,3217
1487671408,3244,3244
1487675008,3245,3245
1487678608,3252,3252
1487682209,3271,3271
1487685810,3285,3285
1487689415,3296,3296
1487693013,3303,3303
1487696612,3305,3305
1487700211,3302,3302
1487703812,3294,3294
1487707411,3295,3295
1487711010,3295,3295
1487714611,3279,3279
1487718209,3268,3268
1487721812,3275,3275
1487725410,3273,3273
1487729010,3279,3279
1487732612,3279,3279
1487736211,3269,3269
1487739810,3263,3263
1487743409,3267,3267
1487747005,3262,3262
1487750612,3275,3275
1487754209,3272,3272
1487757812,3264,3264
1487761412,3257,3257
1487765008,3247,3247
1487768610,3252,3252
1487772211,3251,3251
1487775812,3256,3256
1487779409,3254,3254
1487783013,3270,3270
1487786613,3284,3284
1487790224,3309,3309
1487793818,3329,3329
1487797418,3340,3340
1487801013,3343,3343
1487804611,3348,3348
1487808217,3359,3359
1487811814,3361,3361
1487815426,3362,3362
1487819016,3360,3360
1487822613,3354,3354
1487826218,3351,3351
1487829815,3342,3342
1487833416,3336,3336
1487837014,3333,3333
1487840616,3321,3321
1487844214,3324,3324
1487847817,3328,3328
1487851414,3328,3328
1487855010,3321,3321
1487858608,3308,3308
1487862214,3313,3313
1487865814,3320,3320
1487869410,3328,3328
1487873010,3335,3335
1487876618,3347,3347
1487880209,3344,3344
1487883813,3349,3349
1487887420,3367,3367
1487891022,3370,3370
1487894619,3372,3372
1487898217,3378,3378
1487901817,3384,3384
1487905414,3398,3398
1487909020,3391,3391
